nome_fantasia,nome,endereco,inicio,alvara,lat,lon,link,petisco,imagem
,APARECIDA MARIA DE SOUZA,"RUA DESEMBARGADOR REIS ALVES, 90 ANDAR: 2, - BAIRRO DAS INDUSTRIAS I",01-07-1993,NÃO,-19.959328856815645,-44.00160266348491,,,
PIZZARIA E CHURRASCARIA VARANDA,LUCAS SILVA DE ARAUJO LTDA,"RUA LUIZ PONGELUPE, 290 C - CARDOSO",15-10-1993,NÃO,-20.00730684803595,-44.00974304766083,,,
RABBIT BURGER,PAULO EMILIO COELHO,"AVE RESSACA, 118 LOJA 04 - PADRE EUSTAQUIO",02-05-1994,NÃO,-19.92069322322474,-43.986730231653034,,,
TATU REI DO ANGU A  BAHIANA,GARAPAO BAR E RESTAURANTE LTDA,"RUA DESEMBARGADOR RIBEIRO DA LUZ, 135 nan - BARREIRO",24-11-1993,SIM,-19.97359720508994,-44.01543251397653,,,
,ROD BITS COMERCIO E REPRESENTACAO LTDA,"AVE ELIAS ANTONIO ISSA, 288 nan - LETICIA",01-06-1994,NÃO,-19.807644830094095,-43.97471147194945,,,
,BOREAL NAUTICA LTDA,"RUA NOVA LIMA, 304 A - CARLOS PRATES",01-06-1994,SIM,-19.91144620746363,-43.95669464449887,,,
,TECTIL REPRESENTACOES TECNICAS LTDA,"RUA GRAO MOGOL, 333 LOJA 22 - CARMO",01-07-1994,NÃO,-19.942896182398172,-43.93263936632732,,,
ESPACO DA FEIJOADA,FRIOS ALMEIDA LTDA,"AVE CRISTIANO MACHADO, 1950 LOJA 36 - CIDADE NOVA",01-10-1993,SIM,-19.890459539867873,-43.928558448375476,,,
,AECIO CARLOS MIGUEL LEMOS 99648725691,"RUA LUZIA SALOMAO, 50 nan - MANTIQUEIRA",15-12-2020,NÃO,-19.803261742477755,-43.97931608173848,,,
,CHURRASCARIA BAHIAS BAR LTDA,"RUA BRAULIO GOMES NOGUEIRA, 1200 nan - ITAIPU",16-09-2011,SIM,-19.990440732704368,-44.04700138476964,,,
